name,nation,score,peoples,date
异形2,美国,8,81772,1986/7/18
超人总动员,美国,8,191443,2004/11/5
哈利·波特与凤凰社,美国,8,221783,2007/7/11
空中杀手,日本,8,16515,2008/8/2
乐高蝙蝠侠大电影,美国,8,44387,2017/2/10
超人总动员2,美国,7.9,168789,2018/6/15
美国队长2,加州首映,7.9,301592,2014/3/13
第五元素,法国,7.9,146633,1997/5/7
迷雾,美国,7.9,182714,2007/11/21
心慌方,多伦多电影节,7.9,153908,1997/9/9
解除好友2：暗网,西南偏南电影节,7.9,100489,2018/3/9
怪形,,7.9,22006,1982/6/25
星球大战前传2：克隆人的进攻,美国,7.9,63117,2002/5/16
刀剑神域,日本,7.9,29996,2012/7/7
刻刻,日本,7.9,5749,2018/1/7
正义联盟：战争,美国,7.9,7362,2014/2/4
地心引力,威尼斯电影节,7.8,305987,2013/8/28
美国队长3,加州首映,7.8,320031,2016/4/12
神奇动物在哪里,美国,7.8,390546,2016/11/18
星河战队,,7.8,68362,1997/11/7
变相怪杰,美国,7.8,181113,1994/7/29
康斯坦丁,美国,7.8,113011,2005/2/18
木乃伊,葡萄牙,7.8,126801,1999/4/16
2010,,7.8,7581,1984/12/7
有关时间旅行的热门问题,英国,7.8,40940,2009/4/24
阿薇尔与虚构世界,法国,7.8,8175,2015/11/4
美国众神 第一季,美国,7.8,17918,2017/4/30
致命之吻,日本,7.8,20767,2018/1/7
星际迷航：发现号 第一季,美国,7.8,4402,2017/9/24
未来学大会,戛纳电影节,7.8,5460,2013/5/16
功之怒,戛纳电影节,7.8,21129,2015/5/22
2012,中国大陆,7.8,368516,2009/11/13
惊爆银河系,,7.8,5558,1999/12/23
超级大坏蛋,美国,7.8,99147,2010/11/5
末日孤舰 第一季,美国,7.8,9897,2014/6/22
天外魔花,,7.8,1890,1956/2/5
行尸走肉 第九季,美国,7.8,7330,2018/10/7
天际行者,俄罗斯,7.8,4778,2017/4/6
《星际穿越》中的科学,美国,7.8,3756,2014/11/25
发现女巫 第一季,英国,7.8,15397,2018/9/14
潘神的迷宫,西班牙,7.8,150043,2006/10/11
降临,威尼斯电影节,7.7,284052,2016/9/1
阿尔罕布拉宫的回忆,韩国,7.7,34439,2018/12/1
钢铁侠3,伦敦首映,7.7,295312,2013/4/18
X战警：天启,伦敦首映,7.7,267524,2016/5/9
蜘蛛侠,美国,7.7,220648,2002/5/3
海王,中国大陆,7.7,555294,2018/12/7
登月第一人,威尼斯电影节,7.7,27725,2018/8/29
X战警,美国,7.7,188288,2000/7/14
与神同行：罪与罚,韩国,7.7,132599,2017/12/20
生化危机2：启示录,加拿大,7.7,127293,2004/9/10
太空救援,俄罗斯,7.7,42977,2017/10/5
I型起源,圣丹斯电影节,7.7,21697,2014/1/18
别让我走,特柳赖德电影节,7.7,67776,2010/9/3
时空线索,美国,7.7,42050,2006/11/22
BLAME!,日本,7.7,6398,2017/5/20
高堡奇人 第一季,试播集,7.7,9304,2015/1/15
龙珠超：布罗利,日本,7.7,10257,2018/12/14
天方异谈,中国大陆,7.7,4136,2018/11/23
蒸汽男孩,,7.7,18942,2004/7/17
金蝉脱壳,美国,7.7,158170,2013/10/18
端脑,中国大陆,7.7,12230,2017/12/6
阿尔法城,,7.7,3930,1965/5/5
冰人四万年,,7.7,375,1984/4/13
末日危途,美国,7.7,31474,2009/11/25
火力地堡,加拿大,7.7,2300,2017/6/28
星际旅行2：可汗怒吼,,7.7,9480,1982/6/4
神气活现,,7.7,1530,1987/2/13
阿丽塔：战斗天使,台湾,7.6,307012,2019/2/5
奇异博士,英国,7.6,381993,2016/10/25
蚁人,美国,7.6,305041,2015/7/17
环太平洋,美国,7.6,326103,2013/7/12
机械姬,BFI影展,7.6,153093,2014/12/16
黑衣人3,美国,7.6,209529,2012/5/25
黑衣人2,,7.6,144363,2002/7/3
意外空间,墨西哥,7.6,12052,2014/9/21
铁血战士,,7.6,23959,1987/6/12
龙虾,戛纳电影节,7.6,84686,2015/5/15
星际旅行1：无限太空,,7.6,10606,1979/12/6
雨果,美国,7.6,148508,2011/11/23
你眼中的世界,翠贝卡电影节,7.6,44239,2014/4/20
利维坦,YouTube,7.6,2101,2015/3/16
保罗,英国,7.6,54230,2011/2/14
极度恐慌,美国,7.6,14513,1995/3/10
生化危机：诅咒,美国,7.6,27489,2012/9/25
穿越者 第一季,美国,7.6,990,2016/10/17
合子异种,加拿大,7.6,2940,2017/7/12
星尘,美国,7.6,53799,2007/8/10
吾栖之肤,法国,7.6,95692,2011/8/17
钢铁侠2,中国大陆,7.5,260350,2010/5/7
与神同行2：因与缘,韩国,7.5,54277,2018/8/1
侏罗纪公园2：失落的世界,洛杉矶首映,7.5,91369,1997/5/19
副本 第一季,美国,7.5,15733,2018/2/2
命运之夜——天之杯：恶兆之花,日本,7.5,20708,2017/10/14
百变星君,香港,7.5,156621,1995/8/19
刀剑神域 Alicization,日本,7.5,4890,2018/10/6
活死人黎明,美国,7.5,44975,2004/3/19
闪电侠 第二季,美国,7.5,9337,2015/10/6
